track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
0zzVTGyRrWpQu8Fr28NRAv,OK Not To Be OK,82,159862,"['64KEffDW9EtZ1y2vBYgq8T', '6S2OmqARrzebs0tKUEyXyp']","['Marshmello', 'Demi Lovato']",2,37i9dQZF1DX70RN3TfWWJh,Workout
4FYbo4yQzu3hGkj2Ix4ucW,Funny,76,221465,"['2qxJFvFYMEDqd7ui6kSAcq', '2TL8gYTNgD6nXkyuUdDrMg']","['Zedd', 'Jasmine Thompson']",2,37i9dQZF1DX70RN3TfWWJh,Workout
6ZuahEctZD6w75peme58hm,Wonder,80,172692,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,1,37i9dQZF1DX70RN3TfWWJh,Workout
5hvwx5i67IwnCkjl9VHkNv,Diamonds,85,213869,2wY79sveU1sp5g7SokKOiI,Sam Smith,1,37i9dQZF1DX70RN3TfWWJh,Workout
5u1n1kITHCxxp8twBcZxWy,Holy (feat. Chance The Rapper),91,212093,"['1uNFoZAHBGtllmzznpCI3s', '1anyVhU62p31KFi8MEzkbf']","['Justin Bieber', 'Chance the Rapper']",2,37i9dQZF1DX70RN3TfWWJh,Workout
5IUOU5xkzGHsRFOYNu3GSK,No Judgement,72,176283,1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,1,37i9dQZF1DX70RN3TfWWJh,Workout
5GhJIMWAw0uMLgkdbt6uMz,Fallin’ (Adrenaline),81,216504,2jnIB6XdLvnJUeNTy5A0J2,Why Don't We,1,37i9dQZF1DX70RN3TfWWJh,Workout
0ZXdzaT1k688dkpNeEgQiV,I Don't Know Why,76,207667,"['5jAMCwdNHWr7JThxtMuEyy', '3AVfmawzu83sp94QW7CEGm']","['NOTD', 'Astrid S']",2,37i9dQZF1DX70RN3TfWWJh,Workout
322tcqPhma7F6hfCeLisx0,"fuck, i'm lonely",9,198973,"['5JZ7CnR6gTvEMKX4g70Amv', '1zNqDE7qDGCsyzJwohVaoX']","['Lauv', 'Anne-Marie']",2,37i9dQZF1DX70RN3TfWWJh,Workout
3Z8FwOEN59mRMxDCtb8N0A,Be Kind (with Halsey),86,172761,"['64KEffDW9EtZ1y2vBYgq8T', '26VFTg2z8YR0cCuwLzESi2']","['Marshmello', 'Halsey']",2,37i9dQZF1DX70RN3TfWWJh,Workout
0v1x6rN6JHRapa03JElljE,Dynamite,47,199053,3Nrfpe0tUJi4K4DXYWgMUX,BTS,1,37i9dQZF1DX70RN3TfWWJh,Workout
1HbA4N1MiOsPthALesGFR1,Monster (Shawn Mendes & Justin Bieber),83,178994,"['7n2wHs1TKAczGzO7Dd2rGr', '1uNFoZAHBGtllmzznpCI3s']","['Shawn Mendes', 'Justin Bieber']",2,37i9dQZF1DX70RN3TfWWJh,Workout
4fwo6czG5nvOQMzhOto1ya,Lonely,8,139813,"['5fMUXHkw8R8eOP2RNVYEZX', '7gOdHgIoIKoe4i9Tta6qdD']","['Diplo', 'Jonas Brothers']",2,37i9dQZF1DX70RN3TfWWJh,Workout
3jjujdWJ72nww5eGnfs2E7,Adore You,88,207133,6KImCVD70vtIoJWnq6nGn3,Harry Styles,1,37i9dQZF1DX70RN3TfWWJh,Workout
7rpNuuoMbid56XkDsx2FjE,Black And White,80,193089,1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,1,37i9dQZF1DX70RN3TfWWJh,Workout
1fipvP2zmef6vN2IwXfJhY,I’m Ready (with Demi Lovato),76,200838,"['2wY79sveU1sp5g7SokKOiI', '6S2OmqARrzebs0tKUEyXyp']","['Sam Smith', 'Demi Lovato']",2,37i9dQZF1DX70RN3TfWWJh,Workout
4evmHXcjt3bTUHD1cvny97,Beautiful People (feat. Khalid),83,197866,"['6eUKZXaKkcviH0Ku9w2n3V', '6LuN9FCkKOj5PcnpouEgny']","['Ed Sheeran', 'Khalid']",2,37i9dQZF1DX70RN3TfWWJh,Workout
24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),85,182200,"['1HY2Jd0NmPuamShAr6KMms', '66CXWjxzNUsdJxJ2JdwvnR']","['Lady Gaga', 'Ariana Grande']",2,37i9dQZF1DX70RN3TfWWJh,Workout
1UNs8AlFM8c0uAkSyjIW3P,Girlfriend,73,177438,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,1,37i9dQZF1DX70RN3TfWWJh,Workout
3anNizayrIeuVv3Mb2KnIR,Unbelievable,0,189384,2jnIB6XdLvnJUeNTy5A0J2,Why Don't We,1,37i9dQZF1DX70RN3TfWWJh,Workout
4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),83,212866,"['1uNFoZAHBGtllmzznpCI3s', '0VRj0yCOv2FXJNP47XQnx5']","['Justin Bieber', 'Quavo']",2,37i9dQZF1DX70RN3TfWWJh,Workout
5id3Rqn7SPj1LX4FfY4nGz,Together,81,205207,5WUlDfRSoLAfcVSX1WnrxN,Sia,1,37i9dQZF1DX70RN3TfWWJh,Workout
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,78,223523,6jJ0s89eD6GaHleKKya26X,Katy Perry,1,37i9dQZF1DX70RN3TfWWJh,Workout
7l7SKt5BsDiiS6CjtaW1fO,Summer Feelings (feat. Charlie Puth),60,160289,"['1cZQSpDsxgKIX2yW5OR9Ot', '6VuMaDnrHyPL1p4EHjYLi7']","['Lennon Stella', 'Charlie Puth']",2,37i9dQZF1DX70RN3TfWWJh,Workout
3RauEVgRgj1IuWdJ9fDs70,The Man,79,190360,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1,37i9dQZF1DX70RN3TfWWJh,Workout
2IHLaN6wwYKQ3S24NsQqpA,I Love Me,76,203672,6S2OmqARrzebs0tKUEyXyp,Demi Lovato,1,37i9dQZF1DX70RN3TfWWJh,Workout
4wNIkl5XGiAACjFBlDWuSd,What A Man Gotta Do,83,180644,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,1,37i9dQZF1DX70RN3TfWWJh,Workout
6LsAAHotRLMOHfCsSfYCsz,If I Can't Have You,80,190800,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,1,37i9dQZF1DX70RN3TfWWJh,Workout
59qrUpoplZxbIZxk6X0Bm3,Take You Dancing,91,190306,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,1,37i9dQZF1DX70RN3TfWWJh,Workout
1jgu8MFTEGdL1wjw9gZj5y,Fly Away,73,178156,2NjfBq1NflQcKSeiDooVjY,Tones And I,1,37i9dQZF1DX70RN3TfWWJh,Workout
5yCXLEi384DHGRXYMXgjBR,Lie Like This,72,218382,0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,1,37i9dQZF1DX70RN3TfWWJh,Workout
7lidXGPXPYLNThITAOTlkK,You should be sad,82,205473,26VFTg2z8YR0cCuwLzESi2,Halsey,1,37i9dQZF1DX70RN3TfWWJh,Workout
3DXdjHnePKnh6oXw2ZgGSl,Smile,72,166898,6jJ0s89eD6GaHleKKya26X,Katy Perry,1,37i9dQZF1DX70RN3TfWWJh,Workout
4RVtBlHFKj51Ipvpfv5ER4,Drown (feat. Clinton Kane),77,174062,"['60d24wfXkVzDSfLS6hyCjZ', '7okSU80WTrn4LXlyXYbX3P']","['Martin Garrix', 'Clinton Kane']",2,37i9dQZF1DX70RN3TfWWJh,Workout
4Gt2kh3QbAGU6yquOWn4aW,Fake,80,146375,"['5JZ7CnR6gTvEMKX4g70Amv', '4Uc8Dsxct0oMqx0P6i60ea']","['Lauv', 'Conan Gray']",2,37i9dQZF1DX70RN3TfWWJh,Workout
2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",86,167693,"['7z5WFjZAIYejWy0NI5lv4T', '1uNFoZAHBGtllmzznpCI3s']","['Dan + Shay', 'Justin Bieber']",2,37i9dQZF1DX70RN3TfWWJh,Workout
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,86,183290,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,1,37i9dQZF1DX70RN3TfWWJh,Workout
4tNXntkAzQ5A2dfYRYGIIQ,Easier,7,157492,5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,1,37i9dQZF1DX70RN3TfWWJh,Workout
2k0e6dy1tx7fE6m126Ydfw,Ice Cream (with Selena Gomez),53,175813,"['41MozSoPIsD1dJM0CLPjZF', '0C8ZW7ezQVs4URX5aX7Kqx']","['BLACKPINK', 'Selena Gomez']",2,37i9dQZF1DX70RN3TfWWJh,Workout
6KfoDhO4XUWSbnyKjNp9c4,Maniac,87,185773,4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,1,37i9dQZF1DX70RN3TfWWJh,Workout
27u7t9d7ZQoyjsCROHuZJ3,Tick Tock (feat. 24kGoldn),86,178373,"['6MDME20pz9RveH9rEXvrOM', '1MIVXf74SZHmTIp4V4paH4', '6fWVd57NKTalqvmjRd2t8Z']","['Clean Bandit', 'Mabel', '24kGoldn']",3,37i9dQZF1DX70RN3TfWWJh,Workout
07Oz5StQ7GRoygNLaXs2pd,Good as Hell (feat. Ariana Grande) - Remix,78,159011,"['56oDRnqbIiwx4mymNEv7dS', '66CXWjxzNUsdJxJ2JdwvnR']","['Lizzo', 'Ariana Grande']",2,37i9dQZF1DX70RN3TfWWJh,Workout
2ufmtcIFdFpuUYBPXK5f67,Graveyard,77,181805,26VFTg2z8YR0cCuwLzESi2,Halsey,1,37i9dQZF1DX70RN3TfWWJh,Workout
5YkmS18BehACOhIIeUqe6l,I Miss Myself (with HRVY),66,191611,"['5jAMCwdNHWr7JThxtMuEyy', '28y6CyJNkGNjJQKrlx4AmN']","['NOTD', 'HRVY']",2,37i9dQZF1DX70RN3TfWWJh,Workout
