track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0zzVTGyRrWpQu8Fr28NRAv,OK Not To Be OK,64KEffDW9EtZ1y2vBYgq8T,Marshmello,3wCtCJ8O6SlGBWYfzAlsb2,159862,2020-09-10,82,0.743,0.837,1,-5.025,0,0.0649,0.0172,0.0,0.0743,0.263,103.072,37i9dQZF1DX70RN3TfWWJh,Workout
4FYbo4yQzu3hGkj2Ix4ucW,Funny,2qxJFvFYMEDqd7ui6kSAcq,Zedd,5Q8Uyc3KUlPhPtMQDY5SWm,221465,2020-07-16,76,0.664,0.66,5,-4.646,1,0.0243,0.512,0.0,0.26,0.355,99.946,37i9dQZF1DX70RN3TfWWJh,Workout
6ZuahEctZD6w75peme58hm,Wonder,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,3Lp4JKk2ZgNkybMRS3eZR5,172692,2020-12-04,80,0.442,0.631,1,-5.096,0,0.05,0.136,2.29e-05,0.133,0.129,139.774,37i9dQZF1DX70RN3TfWWJh,Workout
5hvwx5i67IwnCkjl9VHkNv,Diamonds,2wY79sveU1sp5g7SokKOiI,Sam Smith,2IAyprsfyoPBGDvbLjgsN5,213869,2020-09-17,85,0.653,0.667,10,-6.764,0,0.0423,0.154,0.0,0.107,0.556,104.181,37i9dQZF1DX70RN3TfWWJh,Workout
5u1n1kITHCxxp8twBcZxWy,Holy (feat. Chance The Rapper),1uNFoZAHBGtllmzznpCI3s,Justin Bieber,4hR7jjsPvRwwcHx8ntJSQS,212093,2020-09-18,91,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,37i9dQZF1DX70RN3TfWWJh,Workout
5IUOU5xkzGHsRFOYNu3GSK,No Judgement,1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,2KA0hztJvCs7eD7nv5316T,176283,2020-02-07,72,0.723,0.726,1,-3.835,0,0.0472,0.0564,0.000126,0.057,0.962,100.051,37i9dQZF1DX70RN3TfWWJh,Workout
5GhJIMWAw0uMLgkdbt6uMz,Fallin’ (Adrenaline),2jnIB6XdLvnJUeNTy5A0J2,Why Don't We,68KIeRyl26qz4Qkrv25FVm,216504,2020-09-29,81,0.606,0.9,0,-4.504,1,0.119,0.0101,0.0,0.075,0.233,133.963,37i9dQZF1DX70RN3TfWWJh,Workout
0ZXdzaT1k688dkpNeEgQiV,I Don't Know Why,5jAMCwdNHWr7JThxtMuEyy,NOTD,5LNAH17alOHq9AwIRiymTj,207667,2020-05-08,76,0.499,0.898,8,-4.181,0,0.124,0.124,7.2e-06,0.0832,0.618,120.04,37i9dQZF1DX70RN3TfWWJh,Workout
322tcqPhma7F6hfCeLisx0,"fuck, i'm lonely",5JZ7CnR6gTvEMKX4g70Amv,Lauv,60sI3iRfHfu7YpcTpZ29W1,198973,2019-08-02,9,0.806,0.558,9,-6.46,1,0.0683,0.482,0.0,0.0618,0.678,95.016,37i9dQZF1DX70RN3TfWWJh,Workout
3Z8FwOEN59mRMxDCtb8N0A,Be Kind (with Halsey),64KEffDW9EtZ1y2vBYgq8T,Marshmello,1eleCBhP2R8TXEDquvybwC,172761,2020-05-01,86,0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.995,37i9dQZF1DX70RN3TfWWJh,Workout
